id,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_90,instant_bookable,cancellation_policy,host_active,phone,email,id_verification,review,photo,socials,others,air_con,wifi,washer,essentials,kitchen,hangers,iron,tv,hair_dryer,shampoo,laptop_workspace,elevator,dryer,hot_water,bedroom_lock,pool,refrigerator,long_term_stays,gym,microwave,bedrooms_per_accommodates
28859690,0,135,0,Bedok,East Region,1.31954,103.91343,1,Serviced apartment,Hotel room,2,1.0,1.0,1.0,Real Bed,4.61512051684126,0.0,0.0,1,0.0,6,90,1,moderate,1157.0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0.5
28864251,0,2,0,Bukit Batok,West Region,1.36459,103.7492,1,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,3.367295829986474,0.0,0.0,1,0.0,60,90,1,flexible,1621.0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1.0
28871530,0,167,0,Geylang,Central Region,1.31436,103.88318000000001,1,Serviced apartment,Hotel room,5,1.0,2.0,2.0,Real Bed,5.19295685089021,0.0,25.0,3,0.0,7,52,1,strict_14_with_grace_period,2374.0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0.4
28896411,0,1,0,Choa Chu Kang,West Region,1.37683,103.74601,0,Apartment,Private room,1,1.0,2.0,1.0,Real Bed,3.912023005428146,0.0,0.0,1,0.0,1,0,1,flexible,775.0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,2.0
28917933,0,3,0,Marine Parade,Central Region,1.30423,103.91611999999999,0,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,4.0943445622221,0.0,0.0,1,0.0,1,87,1,strict_14_with_grace_period,831.0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0.5
28919825,0,1,0,Geylang,Central Region,1.31785,103.88493000000001,0,Condominium,Entire home/apt,3,1.0,1.0,1.0,Real Bed,5.0106352940962555,150.0,0.0,2,15.0,3,0,1,moderate,1558.0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0.3333333333333333
28924202,0,6,0,River Valley,Central Region,1.29847,103.83448,1,Apartment,Private room,9,2.0,3.0,4.0,Real Bed,5.298317366548036,300.0,90.0,6,39.0,2,76,1,strict_14_with_grace_period,1333.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0.3333333333333333
28924831,0,3,0,Bukit Batok,West Region,1.35009,103.75532,1,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,4.110873864173311,200.0,35.0,2,0.0,1,84,1,strict_14_with_grace_period,1463.0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0.5
28944069,0,15,1,Bedok,East Region,1.30742,103.91133,0,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,3.6375861597263857,150.0,30.0,1,8.0,5,60,0,strict_14_with_grace_period,2114.0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.5
28944330,0,15,1,Bedok,East Region,1.30827,103.9116,0,Apartment,Private room,2,1.5,1.0,2.0,Real Bed,3.7376696182833684,150.0,30.0,2,20.0,5,56,0,strict_14_with_grace_period,2114.0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0.5
28944421,0,1,0,Kallang,Central Region,1.31195,103.86048000000001,0,Hotel,Private room,2,1.0,1.0,1.0,Real Bed,5.5053315359323625,0.0,0.0,2,0.0,1,90,1,moderate,514.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.5
